time	oxygen	pressure	temperature	salinity
30-07-2019 03:22:59	78.98	60.099,00	24.146,00	37.229,00
30-07-2019 03:23:00	78.942,00	61.06	24.147,00	37.227,00
30-07-2019 03:23:02	78.903,00	62.086,00	24.147,00	37.227,00
30-07-2019 03:23:03	78.899,00	63.083,00	24.147,00	37.228,00
30-07-2019 03:23:04	78.885,00	64.123,00	24.145,00	37.229,00
30-07-2019 03:23:04	78.853,00	65.014,00	24.146,00	37.23
30-07-2019 03:23:05	78.807,00	66.061,00	24.149,00	37.222,00
30-07-2019 03:23:06	78.769,00	67.12	24.145,00	37.228,00
30-07-2019 03:23:07	78.74	68.02	24.143,00	37.23
30-07-2019 03:23:08	78.719,00	69.042,00	24.142,00	37.229,00
30-07-2019 03:23:11	78.617,00	70.015,00	24.142,00	37.228,00
30-07-2019 03:23:12	78.56	71.073,00	24.143,00	37.229,00
30-07-2019 03:23:13	78.55	72.034,00	24.141,00	37.227,00
30-07-2019 03:23:14	78.539,00	73.072,00	24.14	37.23
30-07-2019 03:23:14	78.557,00	74.071,00	24.14	37.23
30-07-2019 03:23:15	78.571,00	75.102,00	24.139,00	37.231,00
30-07-2019 03:23:16	78.55	76.149,00	24.14	37.229,00
30-07-2019 03:23:17	78.483,00	77.122,00	24.143,00	37.228,00
30-07-2019 03:23:18	78.419,00	78.034,00	24.145,00	37.225,00
30-07-2019 03:23:20	78.324,00	79.036,00	24.143,00	37.229,00
30-07-2019 03:23:22	78.207,00	80.041,00	24.14	37.231,00
30-07-2019 03:23:24	78.175,00	81.073,00	24.145,00	37.228,00
30-07-2019 03:23:24	78.179,00	82.047,00	24.143,00	37.228,00
30-07-2019 03:23:25	78.197,00	83.141,00	24.14	37.23
30-07-2019 03:23:26	78.239,00	84.129,00	24.144,00	37.226,00
30-07-2019 03:23:27	78.295,00	85.062,00	24.143,00	37.222,00
30-07-2019 03:23:28	78.235,00	86.11	24.136,00	37.226,00
30-07-2019 03:23:29	78.182,00	87.143,00	24.133,00	37.227,00
30-07-2019 03:23:30	78.165,00	88.08	24.133,00	37.226,00
30-07-2019 03:23:31	78.137,00	89.138,00	24.134,00	37.225,00
30-07-2019 03:23:32	78.098,00	90.075,00	24.132,00	37.225,00
30-07-2019 03:23:35	78.009,00	91.124,00	24.132,00	37.225,00
30-07-2019 03:23:36	78.002,00	92.144,00	24.133,00	37.224,00
30-07-2019 03:23:37	77.992,00	93.057,00	24.129,00	37.227,00
30-07-2019 03:23:37	78.024,00	94.025,00	24.133,00	37.224,00
30-07-2019 03:23:38	78.062,00	95.05	24.13	37.225,00
30-07-2019 03:23:39	78.105,00	96.056,00	24.125,00	37.226,00
30-07-2019 03:23:41	78.041,00	97.023,00	24.126,00	37.22
30-07-2019 03:23:42	77.949,00	98.054,00	24.122,00	37.218,00
30-07-2019 03:23:43	77.935,00	99.007,00	24.114,00	37.219,00
30-07-2019 03:23:44	77.928,00	100.015,00	24.106,00	37.208,00
30-07-2019 03:23:45	77.886,00	101.043,00	24.091,00	37.204,00
30-07-2019 03:23:47	77.762,00	102.062,00	24.074,00	37.195,00
30-07-2019 03:23:48	77.646,00	103.086,00	24.045,00	37.174,00
30-07-2019 03:23:49	77.572,00	104.094,00	24.001,00	37.16
30-07-2019 03:23:50	77.501,00	105.025,00	23.951,00	37.144,00
30-07-2019 03:23:51	77.444,00	106.015,00	23.897,00	37.129,00
30-07-2019 03:23:52	77.303,00	107.037,00	23.831,00	37.107,00
30-07-2019 03:23:54	77.091,00	108.026,00	23.754,00	37.101,00
30-07-2019 03:23:55	76.922,00	109.03	23.714,00	37.112,00
30-07-2019 03:23:56	76.834,00	110.044,00	23.665,00	37.089,00
30-07-2019 03:23:57	76.749,00	111.091,00	23.622,00	37.086,00
30-07-2019 03:23:58	76.661,00	112.032,00	23.605,00	37.107,00
30-07-2019 03:23:59	76.625,00	113.027,00	23.618,00	37.118,00
30-07-2019 03:24:00	76.618,00	114.074,00	23.637,00	37.151,00
30-07-2019 03:24:02	76.664,00	115.012,00	23.658,00	37.137,00
30-07-2019 03:24:03	76.685,00	116.031,00	23.642,00	37.123,00
30-07-2019 03:24:04	76.65	117.136,00	23.575,00	37.083,00
30-07-2019 03:24:05	76.604,00	118.162,00	23.509,00	37.061,00
30-07-2019 03:24:05	76.583,00	119.039,00	23.436,00	37.1
30-07-2019 03:24:07	76.385,00	120.064,00	23.174,00	36.707,00
30-07-2019 03:24:09	75.428,00	121.003,00	22.743,00	36.771,00
30-07-2019 03:24:10	74.662,00	122.101,00	22.449,00	36.807,00
30-07-2019 03:24:11	74.224,00	123.125,00	22.234,00	36.713,00
30-07-2019 03:24:12	73.85	124.009,00	22.075,00	36.718,00
30-07-2019 03:24:13	73.31	125.089,00	21.939,00	36.749,00
30-07-2019 03:24:14	72.862,00	126.104,00	21.882,00	36.75
30-07-2019 03:24:15	72.597,00	127.063,00	21.828,00	36.763,00
30-07-2019 03:24:16	72.307,00	128.111,00	21.778,00	36.74
30-07-2019 03:24:17	72.053,00	129.025,00	21.714,00	36.721,00
30-07-2019 03:24:18	71.859,00	130.006,00	21.666,00	36.736,00
30-07-2019 03:24:20	71.696,00	131.021,00	21.639,00	36.711,00
30-07-2019 03:24:22	71.294,00	132.076,00	21.619,00	36.704,00
30-07-2019 03:24:23	71.078,00	133.139,00	21.592,00	36.711,00
30-07-2019 03:24:24	70.944,00	134.088,00	21.535,00	36.66
30-07-2019 03:24:25	70.842,00	135.038,00	21.474,00	36.652,00
30-07-2019 03:24:26	70.824,00	136.135,00	21.401,00	36.656,00
30-07-2019 03:24:27	70.877,00	137.061,00	21.37	36.665,00
30-07-2019 03:24:28	70.849,00	138.02	21.359,00	36.663,00
30-07-2019 03:24:29	70.754,00	139.039,00	21.335,00	36.64
30-07-2019 03:24:30	70.605,00	140.005,00	21.276,00	36.617,00
30-07-2019 03:24:32	70.393,00	141.071,00	21.219,00	36.619,00
30-07-2019 03:24:33	70.323,00	142.111,00	21.198,00	36.629,00
30-07-2019 03:24:34	70.302,00	143.119,00	21.178,00	36.629,00
30-07-2019 03:24:35	70.309,00	144.027,00	21.173,00	36.608,00
30-07-2019 03:24:37	70.288,00	145.012,00	21.162,00	36.613,00
30-07-2019 03:24:38	70.157,00	146.031,00	21.136,00	36.614,00
30-07-2019 03:24:39	70.107,00	147.057,00	21.106,00	36.601,00
30-07-2019 03:24:40	70.012,00	148.085,00	21.034,00	36.548,00
30-07-2019 03:24:41	69.956,00	149.082,00	20.97	36.565,00
30-07-2019 03:24:42	69.896,00	150.056,00	20.937,00	36.578,00
30-07-2019 03:24:43	69.797,00	151.008,00	20.905,00	36.573,00
30-07-2019 03:24:44	69.705,00	152.049,00	20.884,00	36.56
30-07-2019 03:24:47	69.419,00	153.078,00	20.839,00	36.561,00
30-07-2019 03:24:48	69.264,00	154.142,00	20.831,00	36.572,00
30-07-2019 03:24:48	69.175,00	155.048,00	20.83	36.584,00
30-07-2019 03:24:49	69.154,00	156.027,00	20.834,00	36.59
30-07-2019 03:24:50	69.242,00	157.106,00	20.839,00	36.586,00
30-07-2019 03:24:51	69.264,00	158.041,00	20.845,00	36.591,00
30-07-2019 03:24:52	69.285,00	159.145,00	20.844,00	36.589,00
30-07-2019 03:24:53	69.317,00	160.031,00	20.833,00	36.59
30-07-2019 03:24:54	69.327,00	161.068,00	20.812,00	36.554,00
30-07-2019 03:24:56	69.242,00	162.039,00	20.745,00	36.53
30-07-2019 03:24:58	69.024,00	163.086,00	20.671,00	36.543,00
30-07-2019 03:24:59	68.872,00	164.106,00	20.554,00	36.513,00
30-07-2019 03:25:00	68.692,00	165.061,00	20.491,00	36.513,00
30-07-2019 03:25:02	68.557,00	166.117,00	20.454,00	36.507,00
30-07-2019 03:25:02	68.529,00	167.043,00	20.405,00	36.497,00
30-07-2019 03:25:03	68.459,00	168.031,00	20.357,00	36.482,00
30-07-2019 03:25:04	68.314,00	169.06	20.305,00	36.471,00
30-07-2019 03:25:05	68.226,00	170.019,00	20.233,00	36.446,00
30-07-2019 03:25:06	68.151,00	171.056,00	20.163,00	36.411,00
30-07-2019 03:25:09	68.01	172.119,00	20.092,00	36.441,00
30-07-2019 03:25:10	67.865,00	173.116,00	20.055,00	36.41
30-07-2019 03:25:10	67.77	174.196,00	19.998,00	36.399,00
30-07-2019 03:25:11	67.756,00	175.031,00	19.962,00	36.402,00
